ProviderID,ProviderName,ProviderTradingName,ABN,Category,Address,Website,RegistrationStatus,RegistrationDescription,RegistrationRenewalDate,Years,SelfAccreditation,CRICOS Registration,CRICOS Web,ASQALink,QILT
PRV12034,Morling College Ltd, Morling College,64 122 588 309,Institute of Higher Education,"122 Herring Road, MACQUARIE PARK NSW 2113",http://www.morling.nsw.edu.au,Active,Registered,31/07/2031,7 years - maximum allowable period,Yes (Partial), 03265F, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03265F,,https://www.compared.edu.au/institution/morling-college
PRV12035,Nan Tien Institute Limited," NTI Business, NTI English Language Centre, Nan Tien Institute",80 139 338 819,Institute of Higher Education,"231 Nolan Road, UNANDERRA NSW 2506",http://www.nantien.edu.au,Active,Registered,15/04/2027,7 years - maximum allowable period,No, 03233C, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03233C,,https://www.compared.edu.au/institution/nan-tien-institute
PRV12036,National Art School, National Art School,89 140 179 111,Institute of Higher Education,"Forbes Street, DARLINGHURST NSW 2010",http://www.nas.edu.au,Active,Ongoing pending renewal,19/08/2025,7 years - maximum allowable period and extended for a further 3 years,No, 03197B, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03197B,,https://www.compared.edu.au/institution/national-art-school
PRV12038,Newcastle International College Pty Ltd, Newcastle International College (NIC),82 145 469 718,Higher Education Provider,"Navitas Pty Ltd, Level 8, 255 Elizabeth Street Sydney NSW 2000",http://www.nic.nsw.edu.au,Inactive,Withdrawn,9/06/2021,Not Applicable,No,,,http://training.gov.au/Organisation/Details/70243 ,https://www.compared.edu.au/institution/newcastle-international-college
PRV12039,Raffles College Pty Ltd," Raffles College of Design and Commerce, Raffles College of Design",86 108 888 900,Higher Education Provider,"1 Fitzwilliam Street, PARRAMATTA NSW 2155",http://www.raffles.edu.au,Inactive,Withdrawn,31/12/2019,Not Applicable,No,,,http://training.gov.au/Organisation/Details/91240 ,https://www.compared.edu.au/institution/raffles-college-pty-ltd
PRV12040,Relationships Australia (NSW), Australian Institute for Relationship Studies,73 000 509 982,Higher Education Provider,"Unit 2, Level 1, North Ryde Business Park, 277 Lane Cove Road, NORTH RYDE NSW 2113",http://www.relationships.org.au,Inactive,Expired,31/12/2014,Not Applicable,No,,,,
PRV12041,S P Jain School of Global Management Pty Limited," S P Jain School of Global Management - Dubai, Mumbai, Singapore, Sydney",87 136 711 567,Institute of Higher Education,"15 Carter St, Lidcombe NSW 2141",http://www.spjain.org,Active,Registered,25/03/2027,7 years - maximum allowable period,No, 03335G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03335G,,https://www.compared.edu.au/institution/sp-jain
PRV12042,SAE Institute Pty Limited," SAE University College, SAE Institute, Qantm College, SAE Creative Media Institute",21 093 057 973,University College,"373-391 Ewingsdale Road, BYRON BAY NSW 2481",http://www.sae.edu.au,Active,Registered,6/11/2029,7 years - maximum allowable period and extended for a further 3 years,Yes (Partial), 00312F, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00312F,http://training.gov.au/Organisation/Details/0273 ,https://www.compared.edu.au/institution/sae-institute
PRV12043,Southern Cross University, Southern Cross University,41 995 651 524,Australian University,"Military Road, EAST LISMORE NSW 2480",http://www.scu.edu.au,Active,Ongoing pending renewal,30/07/2025,7 years - maximum allowable period and extended for a further 3 years,Yes, 01241G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01241G,,https://www.compared.edu.au/institution/southern-cross-university
PRV12044,Navitas Australia (formerly Study Group Australia Pty Limited)," ANU College, Taylors UniLink, Taylors College, Flinders International Study Centre, Martin College, Martin Higher Education",88 070 919 327,Non Higher Education Provider,"Level 8 Brookfield Place, 125 St Georges Terrace Perth WA 6000",https://www.taylorssydney.edu.au/,Inactive,Expired,30/04/2022,Not Applicable,No, 01682E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01682E,,https://www.compared.edu.au/institution/study-group-australia-pty-limited
PRV12045,Australian University College of Divinity Ltd," Australian University College of Divinity, AUCD, Sydney College of Divinity",39 002 653 036,University College,"Unit 114, 4 Columbia Court, Norwest NSW 2153",http://www.scd.edu.au,Active,Registered,22/05/2031,7 years - maximum allowable period,Yes (Partial), 02948J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02948J,,https://www.compared.edu.au/institution/sydney-college-of-divinity
PRV12046,Sydney Institute of Business and Technology Pty Ltd, Sydney Institute of Business and Technology,18 074 470 447,Institute of Higher Education,"Level 4, 255 Elizabeth Street, SYDNEY NSW 2000",http://www.sibt.nsw.edu.au,Active,Registered,8/05/2031,7 years - maximum allowable period,No, 01576G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01576G,,https://www.compared.edu.au/institution/sydney-institute-of-business-and-technology
PRV12047,Australian College of Christian Studies Ltd (formerly Tabor College (NSW) Ltd), Tabor College NSW,60 236 028 435,Institute of Higher Education,"29 George Street, Burwood NSW 2134",http://www.ccs.edu.au/,Active,Registered,29/09/2026,5 years,No, 03375M, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03375M,http://training.gov.au/Organisation/Details/91402 ,https://www.compared.edu.au/institution/australian-college-of-christian-studies
PRV12048,The College of Law Limited (formerly TCOL Limited), The College of Law,61 138 459 015,Institute of Higher Education,"570 George Street, SYDNEY NSW 2000",http://www.collaw.edu.au,Active,Ongoing pending renewal,10/12/2025,7 years - maximum allowable period and extended for a further 3 years,Yes (Partial), 03155A, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03155A,,https://www.compared.edu.au/institution/the-college-of-law-limited
PRV12049,Technical and Further Education Commission, TAFE NSW Higher Education,89 755 348 137,Institute of Higher Education,"Building A, Level 1,  Mary Anne Street, ULTIMO NSW 2007",https://www.tafensw.edu.au/degrees,Active,Registered,12/04/2030,7 years - maximum allowable period,No, 00591E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00591E,http://training.gov.au/Organisation/Details/90003 ,https://www.compared.edu.au/institution/tafe-nsw
PRV12050,The Australian Institute of Music Limited, The Australian Institute of Music,89 003 261 112,Institute of Higher Education,"66 Harrington Street, The Rocks NSW 2000",http://www.aim.edu.au,Active,Ongoing pending renewal,31/08/2024,4 years and extended for a further 3 years,No, 00665C, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00665C,,https://www.compared.edu.au/institution/the-australian-institute-of-music
PRV12051,Kent Institute Australia Pty Ltd (formerly The Centre of Academic Excellence Pty. Ltd)," Kent Institute Australia, Kent Institute of Business and Technology",49 003 577 302,Institute of Higher Education,"Level 11, 10 Barrack Street, SYDNEY NSW 2000",http://www.kent.edu.au,Active,Registered,14/12/2029,7 years - maximum allowable period,No, 00161E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00161E,http://training.gov.au/Organisation/Details/90458 ,https://www.compared.edu.au/institution/kent-institute-australia
PRV12052,The National Institute of Dramatic Art," National Institute of Dramatic Art, NIDA",99 000 257 741,University College,"215 Anzac Parade, KENSINGTON NSW 2033",http://www.nida.edu.au,Active,Ongoing pending renewal,24/06/2025,7 years - maximum allowable period and extended for a further 3 years,Yes (Partial), 00756M, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00756M,http://training.gov.au/Organisation/Details/90349 ,
PRV12053,The New South Wales Institute of Psychiatry, The New South Wales Institute of Psychiatry,80 751 069 784,Higher Education Provider,"Cumberland Hospital Campus, 5 Fleet Street, NORTH PARRAMATTA NSW 2151",http://www.nswiop.nsw.edu.au,Inactive,Expired,31/12/2016,Not Applicable,No,,,,
PRV12054,University of New England, The University of New England,75 792 454 315,Australian University,"University of New England, ARMIDALE NSW 2351",http://www.une.edu.au,Active,Ongoing pending renewal,20/07/2025,7 years - maximum allowable period and extended for a further 2 years,Yes, 00003G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00003G,,https://www.compared.edu.au/institution/university-of-new-england
PRV12055,University of New South Wales, UNSW Sydney,57 195 873 179,Australian University,"High Street, Kensington Campus SYDNEY NSW 2052",http://www.unsw.edu.au,Active,Ongoing pending renewal,20/12/2025,7 years - maximum allowable period,Yes, 00098G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00098G,,https://www.compared.edu.au/institution/university-of-new-south-wales
PRV12056,University of Newcastle, The University of Newcastle,15 736 576 735,Australian University,"University Drive, CALLAGHAN NSW 2308",http://www.newcastle.edu.au,Active,Registered,9/04/2032,7 years - maximum allowable period,Yes, 00109J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00109J,,https://www.compared.edu.au/institution/university-of-newcastle
PRV12057,The University of Sydney, University of Sydney,15 211 513 464,Australian University,"Camperdown Campus, Parramatta Road, SYDNEY NSW 2006",http://www.sydney.edu.au,Active,Registered,3/04/2026,7 years - maximum allowable period,Yes," 00026A - NSW, 01019C - NSW", http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00026A,,https://www.compared.edu.au/institution/the-university-of-sydney
PRV12058,Think: Colleges Pty Ltd," Think: Colleges, The Practice Wellbeing Centre, Think Education, APM College of Business and Communication, Australasian College of Natural Therapies, Billy Blue College of Design, Southern School of Natural Therapies, William Blue College of Hospitality Management, Jansen Newman Institute",93 050 049 299,Institute of Higher Education,"1-37 Foveaux St, Surry Hills NSW 2010",http://www.think.edu.au,Active,Registered,25/10/2026,3 years,No, 00246M, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00246M,http://training.gov.au/Organisation/Details/0269 ,https://www.compared.edu.au/institution/think-education
PRV12059,Top Education Group Limited," Top Education Institute, Australian National Institute of Management and Commerce",36 098 139 176,Institute of Higher Education,"Administration Office, 1 Central Avenue, Australian Technology Park, EVELEIGH NSW 2015",https://www.imc.edu.au,Active,Ongoing pending renewal,5/03/2025,7 years - maximum allowable period and extended for a further 3 years,Yes (Partial), 02491D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02491D,,
PRV12060,University of Technology Sydney, UTS,77 257 686 961,Australian University,"15 Broadway, ULTIMO NSW 2007",http://www.uts.edu.au,Active,Registered,13/12/2030,7 years - maximum allowable period,Yes, 00099F, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00099F,,https://www.compared.edu.au/institution/university-of-technology-sydney
PRV12061,Western Sydney University (formerly University of Western Sydney), Western Sydney University,53 014 069 881,Australian University,"Locked Bag 1797, PENRITH NSW 2751",http://www.westernsydney.edu.au,Active,Ongoing pending renewal,21/11/2025,7 years - maximum allowable period,Yes, 00917K, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00917K,,https://www.compared.edu.au/institution/western-sydney-university
PRV12062,University of Wollongong," University of Wollongong, Sydney Business School Pty Limited",61 060 567 686,Australian University,"Administration Building, Northfields Avenue, WOLLONGONG NSW 2522",http://www.uow.edu.au,Active,Ongoing pending renewal,28/03/2025,7 years - maximum allowable period,Yes, 00102E, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00102E,,https://www.compared.edu.au/institution/university-of-wollongong
PRV12063,Wentworth Institute of Higher Education Pty Ltd (formerly Victory Institute of Higher Education Pty Ltd), Wentworth Institute,71 141 843 218,Institute of Higher Education,"Level 1, 302 Elizabeth Street, SURRY HILLS NSW 2010",http://www.win.edu.au,Active,Registered,8/05/2031,7 years - maximum allowable period,No, 03279M, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03279M,,https://www.compared.edu.au/institution/wentworth-institute
PRV12064,Excelsia University College, Excelsia University College,50 360 319 774,University College,"69-71 Waterloo Road, MACQUARIE PARK NSW 2113",http://www.excelsia.edu.au,Active,Registered,9/06/2028,7 years - maximum allowable period,Yes (Partial), 02664K, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02664K,,https://www.compared.edu.au/institution/excelsia-college
PRV12065,Whitehouse Institute Pty Ltd," Whitehouse Institute of Design, Australia",49 122 953 557,Institute of Higher Education,"2 Short Street, SURRY HILLS NSW 2010",http://www.whitehouse-design.edu.au,Active,Registered,24/04/2031,7 years - maximum allowable period,No, 02863C, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=02863C,http://training.gov.au/Organisation/Details/91319 ,https://www.compared.edu.au/institution/whitehouse-institute-of-design-australia
PRV12066,ACPE Limited, The Australian College of Physical Education,28 107 480 848,Institute of Higher Education,"10 Parkview Drive, SYDNEY OLYMPIC PARK NSW 2127",http://www.acpe.edu.au,Active,Ongoing pending renewal,17/09/2025,7 years - maximum allowable period and extended for a further 3 years,No, 01822J, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=01822J,,https://www.compared.edu.au/institution/the-australian-college-of-physical-education
PRV12068,Batchelor Institute of Indigenous Tertiary Education, Batchelor Institute,32 039 179 166,Institute of Higher Education,"Nurndina Street, BATCHELOR NT 0845",http://www.batchelor.edu.au,Active,Ongoing pending renewal,13/04/2024,7 years - maximum allowable period,Yes (Partial),,,http://training.gov.au/Organisation/Details/0383 ,
PRV12069,Charles Darwin University, Charles Darwin University,54 093 513 649,Australian University,"Ellengowan Drive, CASUARINA NT 0810",http://www.cdu.edu.au,Active,Registered,22/01/2027,7 years - maximum allowable period,Yes, 00300K, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00300K,http://training.gov.au/Organisation/Details/0373 ,https://www.compared.edu.au/institution/charles-darwin-university
PRV12070,Australian College of Natural Medicine Pty Ltd, Endeavour College of Natural Health,57 061 868 264,Institute of Higher Education,"Transport House, 230 Brunswick St FORTITUDE VALLEY QLD 4006",http://www.endeavour.edu.au,Active,Registered,22/07/2032,7 years - maximum allowable period,No, 00231G, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00231G,http://training.gov.au/Organisation/Details/31489 ,https://www.compared.edu.au/institution/endeavour-college-of-natural-health
PRV12071,Australian Institute of Management Education and Training Pty Limited," AIM Business School, Australian Institute of Management",40 009 668 553,Institute of Higher Education,"Ground Floor, 7 Macquarie Place, Circular Quay, SYDNEY NSW 2000",http://www.aim.com.au,Active,Registered,11/09/2031,7 years - maximum allowable period,No, 03769D, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=03769D,http://training.gov.au/Organisation/Details/0049 ,https://www.compared.edu.au/institution/australian-institute-of-management-education-training
PRV12072,Bond University Limited, Bond University Limited,88 010 694 121,Australian University,"Level 6, Arch Building, University Drive, ROBINA QLD 4229",http://www.bond.edu.au,Active,Registered,9/04/2032,7 years - maximum allowable period,Yes, 00017B, http://cricos.education.gov.au/Institution/InstitutionDetails.aspx?ProviderCode=00017B,,https://www.compared.edu.au/institution/bond-university
