CourseID,ProviderID,CourseName,Accreditation,AccrediationDate,AccreditationStatusDate,AccreditationStatus,Years,LOTE
CRS1200103,PRV12009,Diploma of Applied Social Science,Inactive,16/06/2014,31/12/2015,Expired,Not Applicable,No
CRS1200104,PRV12009,Graduate Certificate in Counselling Skills,Inactive,13/11/2013,31/05/2014,Expired,Not Applicable,No
CRS1200105,PRV12009,Graduate Diploma of Counselling,Inactive,13/11/2013,13/11/2020,Expired,Not Applicable,No
CRS1200106,PRV12009,Bachelor of Applied Social Science (Sport and Performance),Inactive,1/01/2004,31/12/2012,Expired,Not Applicable,No
CRS1200107,PRV12009,Bachelor of Applied Social Science,Inactive,21/08/2014,21/08/2021,Expired,Not Applicable,No
CRS1200108,PRV12009,Bachelor of Counselling (Coaching) (formerly Bachelor of Applied Social Science (Coaching)),Inactive,16/06/2014,16/06/2021,Expired,Not Applicable,No
CRS1200109,PRV12009,Bachelor of Psychological Science (Honours),Inactive,6/05/2015,6/05/2022,Expired,Not Applicable,No
CRS1200110,PRV12009,Graduate Diploma of Psychological Science,Inactive,6/05/2015,6/05/2022,Expired,Not Applicable,No
CRS1200111,PRV12009,Graduate Diploma of Psychology,Inactive,6/05/2015,6/05/2022,Expired,Not Applicable,No
CRS1200112,PRV12009,Bachelor of Psychological Science,Inactive,6/05/2015,6/05/2022,Expired,Not Applicable,No
CRS1200113,PRV12009,Master of Psychology (Clinical),Inactive,30/03/2017,30/03/2024,Expired,Not Applicable,No
CRS1200114,PRV12009,Graduate Diploma of Professional Psychology,Inactive,30/03/2017,30/03/2024,Expired,Not Applicable,No
CRS1200115,PRV12070,Bachelor of Health Science (Myotherapy) (formerly Bachelor of Health Science (Musculoskeletal Therapy)),Inactive,23/04/2015,30/03/2025,Withdrawn,Not Applicable,No
CRS1200116,PRV12070,Bachelor of Health Science (Clinical Nutrition) (formerly B of Health Science (Nutritional and Dietetic Medicine)),Active,23/04/2015,30/03/2025,Pending Renewal,7 years - maximum allowable period and extended for a further 36 months,No
CRS1200117,PRV12070,Bachelor of Health Science (Naturopathy),Active,1/05/2014,30/03/2025,Pending Renewal,7 years - maximum allowable period and extended for a further 47 months,No
CRS1200168,PRV12012,Bachelor of Business (Accounting),Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200169,PRV12012,Bachelor of Business (Management and Finance),Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200170,PRV12012,Diploma of Accounting,Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200171,PRV12012,Diploma of Management,Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200172,PRV12012,Master of Accounting (Formerly Master of Accounting (Standard)),Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200173,PRV12012,Master of Accounting (Accelerated),Inactive,29/01/2012,8/01/2018,Expired,Not Applicable,No
CRS1200174,PRV12012,Master of Professional Accounting (Formerly Master of Professional Accounting (Standard)),Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200175,PRV12012,Master of Professional Accounting (Accelerated),Inactive,29/01/2012,8/01/2018,Expired,Not Applicable,No
CRS1200176,PRV12012,Graduate Certificate in Business,Active,24/01/2024,24/01/2031,Accredited,7 years - maximum allowable period,No
CRS1200184,PRV12013,Bachelor of Accounting,Active,3/03/2023,3/03/2030,Accredited,7 years - maximum allowable period,No
CRS1200185,PRV12013,Bachelor of Business,Inactive,14/08/2023,20/12/2024,Expired,Not Applicable,No
CRS1200186,PRV12014,Graduate Certificate in Applied Management (Policing and Emergency Services),Active,6/11/2014,5/11/2027,Accredited,7 years - maximum allowable period and extended for a further 6 years,No
CRS1200187,PRV12014,Graduate Diploma of Executive Leadership (Policing and Emergency Services),Active,6/11/2014,5/11/2027,Accredited,7 years - maximum allowable period and extended for a further 6 years,No
CRS1200247,PRV12016,Diploma of Business (International Hotel & Resort Management),Inactive,29/08/2013,29/09/2016,Expired,Not Applicable,No
CRS1200248,PRV12016,Associate Degree of Business (International Event Management),Inactive,29/08/2013,29/09/2016,Withdrawn,Not Applicable,No
CRS1200249,PRV12016,Master of International Hotel Management,Inactive,10/10/2011,9/09/2016,Withdrawn,Not Applicable,No
CRS1200250,PRV12016,Graduate Certificate in International Hotel Management,Inactive,10/10/2011,9/09/2016,Withdrawn,Not Applicable,No
CRS1200251,PRV12017,Bachelor of Arts in the Liberal Arts,Active,11/06/2015,30/06/2026,Pending Renewal,7 years - maximum allowable period and extended for a further 49 months,No
CRS1200252,PRV12154,Bachelor of Business (Hospitality and Tourism Management),Inactive,17/10/2013,17/04/2014,Expired,Not Applicable,No
CRS1200253,PRV12154,Bachelor of Accounting,Inactive,15/07/2011,30/06/2014,Expired,Not Applicable,No
CRS1200254,PRV12154,Bachelor of Business (IT Networking),Inactive,21/01/2011,18/07/2013,Withdrawn,Not Applicable,No
CRS1200255,PRV12019,Graduate Diploma of Applied Corporate Governance,Inactive,21/05/2014,31/12/2022,Expired,Not Applicable,No
CRS1200256,PRV12020,Graduate Certificate in Acute Care Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200258,PRV12020,Graduate Certificate in Aged Care Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200259,PRV12020,Graduate Certificate in Breast Cancer Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200260,PRV12020,Graduate Certificate in Cancer Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200261,PRV12020,Graduate Certificate in Child and Family Health Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200262,PRV12020,Graduate Certificate in Leadership and Management (formerly Graduate Certificate in Clinical Leadership and Management),Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200263,PRV12020,Graduate Certificate in Critical Care Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200264,PRV12020,Graduate Certificate in Mental Health Nursing,Inactive,1/10/2005,1/03/2013,Expired,Not Applicable,No
CRS1200265,PRV12020,Graduate Certificate in Neonatal Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200266,PRV12020,Graduate Certificate in Paediatric Nursing Studies,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200267,PRV12020,Graduate Certificate in Peri-operative Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200268,PRV12020,Graduate Certificate in Stomal Therapy Nursing,Inactive,24/04/2013,15/08/2014,Withdrawn,Not Applicable,No
CRS1200269,PRV12157,Diploma of Commerce,Inactive,9/04/2014,27/04/2017,Withdrawn,Not Applicable,No
CRS1200275,PRV12075,Master of Gestalt Therapy,Active,23/10/2024,23/10/2031,Accredited,7 years - maximum allowable period,No
CRS1200276,PRV12075,Graduate Certificate in Gestalt Therapy,Active,23/10/2024,23/10/2031,Accredited,7 years - maximum allowable period,No
CRS1200277,PRV12021,Bachelor of Accounting,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200278,PRV12021,Bachelor of Business,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200279,PRV12021,Associate Degree of Business,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200280,PRV12021,Diploma of Business,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200281,PRV12021,Associate Degree of Accounting,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200282,PRV12021,Diploma of Accounting,Active,30/06/2021,30/06/2025,Pending Renewal,4 years,No
CRS1200283,PRV12172,Graduate Certificate in Business Administration,Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200284,PRV12172,Graduate Diploma of Business Administration,Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200285,PRV12172,Graduate Diploma of Business Administration (Specialist),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200286,PRV12172,Master of Business Administration,Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200287,PRV12172,Master of Business Administration (with specialism in Finance),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200288,PRV12172,Master of Business Administration (with Specialism in Human Resource Management),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200289,PRV12172,Master of Business Administration (with specialism in Marketing),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200290,PRV12172,Master of Business Administration (with specialism in Strategic Planning),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200291,PRV12172,Master of Business Administration (with specialism in Public Administration),Inactive,1/12/2006,31/01/2013,Expired,Not Applicable,No
CRS1200292,PRV12128,Bachelor of Business,Active,6/12/2023,6/12/2030,Accredited,7 years - maximum allowable period,No
CRS1200293,PRV12128,Bachelor of Professional Accounting,Active,23/02/2024,23/02/2031,Accredited,7 years - maximum allowable period,No
CRS1200294,PRV12128,Master of Business Administration,Active,15/03/2021,15/03/2028,Accredited,7 years - maximum allowable period,No
CRS1200296,PRV12128,Master of Professional Accounting,Active,6/12/2023,6/12/2030,Accredited,7 years - maximum allowable period,No
CRS1200297,PRV12128,Diploma in Business Management,Active,6/12/2023,6/12/2030,Accredited,7 years - maximum allowable period,No
CRS1200298,PRV12022,Diploma of Business,Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200299,PRV12022,Diploma of Communication (Public Relations),Inactive,17/07/2015,31/12/2015,Expired,Not Applicable,No
CRS1200300,PRV12022,Diploma of Design (Visual Communication),Inactive,8/10/2015,30/06/2017,Expired,Not Applicable,No
CRS1200302,PRV12022,Diploma of Information Technology,Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200307,PRV12022,Diploma of Engineering,Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200314,PRV12022,Diploma of Science,Active,28/03/2022,28/03/2029,Accredited,7 years - maximum allowable period,No
CRS1200315,PRV12023,Graduate Certificate in Emotion Focused Therapy (formerly GC in Emotionally Focused Counselling),Inactive,7/06/2019,7/06/2026,Expired,Not Applicable,No
CRS1200316,PRV12023,Graduate Diploma of Emotionally Focused Therapy,Inactive,7/06/2019,7/06/2026,Expired,Not Applicable,No
CRS1200317,PRV12026,Bachelor of Music (Performance),Active,25/11/2024,25/11/2031,Accredited,7 years - maximum allowable period,No
CRS1200318,PRV12026,Associate Degree of Music (Performance),Active,25/11/2024,25/11/2031,Accredited,7 years - maximum allowable period,No
CRS1200319,PRV12026,Graduate Certificate in Small Music Business Management,Inactive,7/12/2010,27/05/2015,Withdrawn,Not Applicable,No
CRS1200322,PRV12027,Diploma of Information Technology,Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200323,PRV12027,Diploma of Business,Active,11/06/2025,11/06/2032,Accredited,7 years - maximum allowable period,No
CRS1200324,PRV12028,Bachelor of Counselling and Human Change,Inactive,1/07/2005,1/07/2013,Expired,Not Applicable,No
CRS1200325,PRV12028,Graduate Diploma of Counselling and Psychotherapy,Inactive,1/10/2006,1/07/2013,Expired,Not Applicable,No
CRS1200326,PRV12028,Bachelor of Applied Social Science (Community Services),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200327,PRV12028,Associate Degree of Applied Social Science (Community Services),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200328,PRV12028,Diploma of Applied Social Science,Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200329,PRV12028,Bachelor of Applied Social Science (Counselling),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200330,PRV12028,Associate Degree of Applied Social Science (Counselling),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200331,PRV12028,Bachelor of Applied Social Science (Human Resource Management),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200332,PRV12028,Associate Degree of Applied Social Science (Human Resource Management),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200333,PRV12028,Bachelor of Applied Social Science (Leadership Development),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200334,PRV12028,Associate Degree of Applied Social Science (Leadership Development),Inactive,1/01/2010,1/07/2013,Withdrawn,Not Applicable,No
CRS1200335,PRV12029,Bachelor of Entertainment Business Management (formerly Bach of Entertainment (Business Management)),Active,11/02/2021,11/02/2028,Accredited,7 years - maximum allowable period,No
CRS1200336,PRV12029,Associate Degree of Audio Engineering and Sound Production (Standard),Inactive,24/10/2005,23/10/2015,Expired,Not Applicable,No
CRS1200338,PRV12029,Associate Degree of Creative Arts (Film and Television),Inactive,1/08/2013,30/06/2014,Expired,Not Applicable,No
CRS1200339,PRV12029,Associate Degree of Entertainment Business Management,Inactive,1/08/2013,31/10/2013,Expired,Not Applicable,No
CRS1200340,PRV12029,Associate Degree of Music (Contemporary Performance),Inactive,1/08/2013,30/06/2014,Expired,Not Applicable,No
CRS1200341,PRV12029,Bachelor of Creative Technology (Audio Engineering and Sound Production) (Standard),Inactive,24/10/2005,23/10/2015,Expired,Not Applicable,No
CRS1200342,PRV12029,Bachelor of Creative Arts (Animation) (previously Bachelor of Creative Arts (3D Animation)),Active,24/01/2020,24/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200343,PRV12029,Bachelor of Creative Arts (Film and Television),Active,23/08/2021,23/08/2028,Accredited,7 years - maximum allowable period,No
CRS1200344,PRV12029,Bachelor of Music (formerly Bachelor of Music (Contemporary Performance)),Active,12/02/2021,12/02/2028,Accredited,7 years - maximum allowable period,No
CRS1200345,PRV12029,Diploma of Audio Engineering and Sound Production,Active,30/01/2020,30/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200346,PRV12029,Diploma of Creative Arts (Animation) (previously Diploma of Creative Arts (3D Animation)),Active,24/01/2020,24/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200347,PRV12029,Diploma of Film and Television,Active,23/08/2021,23/08/2028,Accredited,7 years - maximum allowable period,No
CRS1200348,PRV12029,Diploma of Entertainment Business Management,Active,11/02/2021,11/02/2028,Accredited,7 years - maximum allowable period,No
CRS1200349,PRV12029,Diploma of Music (formerly Diploma of Music (Contemporary Performance)),Active,12/02/2021,12/02/2028,Accredited,7 years - maximum allowable period,No
CRS1200350,PRV12029,Associate Degree of Audio Engineering and Sound Production (Accelerated),Inactive,1/07/2011,23/10/2015,Expired,Not Applicable,No
CRS1200351,PRV12029,Bachelor of Creative Technology (Audio Engineering and Sound Production) (Accelerated),Inactive,1/07/2011,23/10/2015,Expired,Not Applicable,No
CRS1200352,PRV12029,Diploma of Creative Arts (Game Design),Active,24/01/2020,24/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200353,PRV12029,Associate Degree of Creative Arts (Game Design),Active,24/01/2020,24/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200354,PRV12029,Bachelor of Creative Arts (Game Design),Active,24/01/2020,24/01/2027,Accredited,7 years - maximum allowable period,No
CRS1200364,PRV12030,Master of Applied Finance,Active,20/04/2020,20/04/2027,Accredited,7 years - maximum allowable period,No
CRS1200365,PRV12030,Graduate Diploma of Applied Finance,Active,20/04/2020,20/04/2027,Accredited,7 years - maximum allowable period,No
CRS1200366,PRV12030,Graduate Certificate in Applied Finance,Active,20/04/2020,20/04/2027,Accredited,7 years - maximum allowable period,No
CRS1200368,PRV12030,Graduate Diploma of Financial Planning,Active,20/04/2020,20/04/2027,Accredited,7 years - maximum allowable period,No
CRS1200369,PRV12030,Master of Business Administration,Inactive,29/11/2012,14/05/2019,Withdrawn,Not Applicable,No
CRS1200370,PRV12030,Graduate Diploma of Business Administration,Inactive,29/11/2012,14/05/2019,Withdrawn,Not Applicable,No
CRS1200371,PRV12030,Graduate Certificate in Business Administration,Inactive,29/11/2012,14/05/2019,Withdrawn,Not Applicable,No
CRS1200372,PRV12030,Master of Professional Accounting,Inactive,29/11/2012,14/05/2019,Withdrawn,Not Applicable,No
CRS1200373,PRV12100,Bachelor of Business (International Restaurant Management),Active,20/05/2019,30/06/2025,Pending Renewal,6 years and 2 months,No
CRS1200374,PRV12100,Advanced Diploma of Business (International Restaurant Management),Active,20/05/2019,30/06/2025,Pending Renewal,6 years and 2 months,No
CRS1200375,PRV12100,Bachelor of Business (International Hotel Management),Active,20/05/2019,30/06/2025,Pending Renewal,6 years and 2 months,No
CRS1200376,PRV12100,Advanced Diploma of Business (International Hotel Management),Active,20/05/2019,30/06/2025,Pending Renewal,6 years and 2 months,No
CRS1200379,PRV12031,Diploma of Advertising & Media (formerly Diploma of Advertising),Inactive,30/06/2022,20/07/2023,Expired,Not Applicable,No
CRS1200380,PRV12031,Diploma of Journalism,Inactive,11/09/2014,30/12/2021,Expired,Not Applicable,No
CRS1200381,PRV12031,Diploma of Marketing,Inactive,30/08/2013,30/12/2021,Expired,Not Applicable,No
CRS1200382,PRV12031,Diploma of Business Management,Active,31/07/2024,31/07/2027,Accredited,3 years,No
CRS1200383,PRV12031,Diploma of Accounting,Inactive,30/08/2013,27/09/2017,Withdrawn,Not Applicable,No
CRS1200384,PRV12031,Advanced Diploma of Communications,Inactive,30/10/2009,11/12/2014,Withdrawn,Not Applicable,No
CRS1200385,PRV12138,Bachelor of Business,Inactive,28/11/2017,28/11/2024,Expired,Not Applicable,No
CRS1200386,PRV12138,Diploma of Business,Inactive,26/09/2017,25/09/2019,Expired,Not Applicable,No
CRS1200387,PRV12138,Diploma of Information Technology,Inactive,26/09/2017,25/09/2019,Expired,Not Applicable,No
CRS1200388,PRV12138,Diploma of Networking,Inactive,21/04/2009,20/04/2014,Expired,Not Applicable,No
CRS1200389,PRV12138,Bachelor of Networking,Inactive,28/11/2017,28/11/2024,Expired,Not Applicable,No
CRS1200390,PRV12138,Graduate Diploma of Networking,Inactive,28/11/2017,28/11/2024,Expired,Not Applicable,No
CRS1200391,PRV12138,Master of Networking,Inactive,28/11/2017,28/11/2024,Expired,Not Applicable,No
CRS1200392,PRV12138,Master of Professional Accounting,Active,1/08/2023,1/08/2030,Accredited,7 years - maximum allowable period,No
CRS1200393,PRV12138,Graduate Diploma of Accounting,Active,1/08/2023,1/08/2030,Accredited,7 years - maximum allowable period,No
